Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Applying intersectionality and acculturation theories to explain disparities in self-rated health among Asian and Hispanic immigrants in the U.S.","Lommel, Lisa L.","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9781339920115",="20170101","77","11-A(E)",,,"2016-58391-248",,"ProQuest Information & Learning","Dissertation","Acculturation; Health; Immigration; Health Disparities; Latinos/Latinas",,"Minority populations in the United States (U.S.) suffer an unequal burden of morbidity and mortality due to health disparities. The purpose of this descriptive cross-sectional study was to identify factors associated with disparities in self-rated health (SRH) among Asian and Hispanic immigrants. The acculturation theory and intersectionality framework were used to select predictors of SRH that included age, gender, ethnicity, socio-economic status, depressive symptoms, C-reactive protein (CRP) level, acculturation status, social position, and acculturative stress and discrimination events. A systematic review of the literature was completed and data from the 2009-2010 National Health and Nutrition Examination Survey and the 2002-2003 National Latino and Asian American Study were reviewed. This study found that acculturation status was associated with reporting disparities in SRH for both Asian and Hispanic immigrants. Limited English proficiency and being foreign-born was associated with worse SRH for Korean, Chinese, and Mexican immigrants, and in aggregate samples of Asian and Hispanic immigrants, compared to non-Hispanic Whites. Additionally, limited English proficiency was associated with worse SRH for Vietnamese immigrants. Among Mexican immigrants, higher levels of acculturation were associated with better SRH. Other key findings among Mexican immigrants were that depressive symptoms, increasing age, female gender, and elevated CRP were predictors of worse SRH compared to U.S.-born, non-Hispanic Whites. However, female gender and higher CRP were not predictors of worse SRH when level of acculturation was controlled for. For Chinese immigrants, acculturative stress was associated with worse SRH in an additive model while the interactions between social position and discrimination, and between gender, acculturative stress, and social position and education were predictive of worse SRH in multiplicative models. In summary, age, gender, ethnicity, socio-economic status, depressive symptoms, CRP, acculturation status, social position, and acculturative stress and discrimination were associated with disparities in SRH among two ethnic minorities in the U.S. These findings can be used to improve awareness and understanding of these immigrant populations who are vulnerable to poor health outcomes. Additionally, outcomes can assist in developing interventions to reduce the influence of social structures on health and to capture the true complexities of immigrants' lives. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2016-58391-248&site=ehost-live&scope=site"
"Arrival and departure (theoretical considerations and clinical observations on migrants and immigrants).","Hertz, Dan G.","Psychiatric Journal of the University of Ottawa",="07028466",,="19811201","6","4","234","5","1982-23461-001",,"Canadian Medical Assn","Journal Article","Acculturation; Adjustment; Human Migration; Immigration",,"Examines the process of voluntary and involuntary migration as an existential crisis situation that is experienced as a time-limited, localized, and focused life event. Migrant and immigrant individuals and families may experience the situation that follows the period of environmental and cultural changes as an overwhelming threat. Because the earlier applied coping mechanisms often will be found as inapplicable, they may become maladaptive. The different stages of the migration and the development of individual, marital, familial, and social symptom formation as a result of the crisis are described. Once the previously well-functioning psychological defenses can no longer be maintained, psychosomatic disorders may follow. The difficulties of adjustment are characterized by feelings of lack of contact with the environment, the threat of isolation, and the development of emotional and social insecurity. Lack of feeling of identification with the recipient community increases the tendency to escape into somatic complaints and into the development of minor illnesses. (22 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1982-23461-001&site=ehost-live&scope=site"
"Asian North Americans' leisure: A critical examination of the theoretical frameworks used in research and suggestions for future study.","Lee, Kangjae Jerry; Stodolska, Monika","Leisure Sciences",="01490400",,="20171101","39","6","524","19","2017-41369-004","10.1080/01490400.2016.1215944","Taylor & Francis","Journal Article","Asians; Experimental Methods; Experimentation; Leisure Time; Theories; Immigration; Adulthood (18 yrs & older); Male; Female",,"The aim of this study was to critically examine the theoretical frameworks employed in the existing research on Asian North Americans' leisure and to offer insights into additional theories that might be used in future research on the topic. The study reviewed three major theoretical frameworks employed by previous research in the field of leisure studies: (1) assimilation and acculturation theory, (2) ethnicity-based theories, and (3) self-construal. The study also provides recommendations for alternative theoretical approaches that could be used in investigations of Asian North Americans' leisure, including racial discrimination and stereotyping, the multiple hierarchy stratification perspective, transnationalism, and cultural and social capital. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-41369-004&site=ehost-live&scope=site"
"Assessing Immigrant Assimilation: New Empirical and Theoretical Challenges.","Waters, Mary C.; Jiménez, Tomás R.","Annual Review of Sociology",="03600572",,="20050101","31",,"105","21","2005-10482-005","10.1146/annurev.soc.29.010202.100026","Annual Reviews","Journal Article","Acculturation; Immigration; Exogamous Marriage; Language; Regional Differences; Socioeconomic Status",,"This review examines research on the assimilation of immigrant groups. We review research on four primary benchmarks of assimilation: socioeconomic status, spatial concentration, language assimilation, and intermarriage. The existing literature shows that today's immigrants are largely assimilating into American society along each of these dimensions. This review also considers directions for future research on the assimilation of immigrant groups in new southern and midwestern gateways and how sociologists measure immigrant assimilation. We document the changing geography of immigrant settlement and review the emerging body of research in this area. We argue that examining immigrant assimilation in these new immigrant gateways is crucial for the development of theories about immigrant assimilation. We also argue that we are likely to see a protracted period of immigrant replenishment that may change the nature of assimilation. Studying this change requires sociologists to use both birth cohort and generation as temporal markers of assimilation. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2005-10482-005&site=ehost-live&scope=site"
"Assimilation or Transnationalism? Conceptual Models of the Immigrant Experience in America.","Pedraza, Silvia","Cultural psychology of immigrants.",,="0805853154; 9780805853155; 0805853146",="20060101",,,"33","22","2006-07020-003",,"Lawrence Erlbaum Associates Publishers","Chapter","Acculturation; Human Migration; Immigration; Models; Social Processes",,"The major questions in immigration research can be summarized briefly as follows: What led people to make the decision to move--what 'push' and 'pull' factors impelled them to displace and uproot themselves (see Lee, 1966)? What is the nature of the crossing--not only literally but also, more abstractly, the policies of two governments that can, in societies that have developed long histories of emigration and immigration, result in their developing systems of economic and political migration (see Burawoy, 1976; Pedraza-Bailey, 1985)? And, what can people attain afterward? A recurrent question in studies of immigration is: How do we best describe that process--as assimilation, adaptation, integration, incorporation, or transnationalism and diasporic citizenship? This chapter traces the development of these concepts over time as social scientists struggled to explain these important social processes. Before doing so, we turn to a brief history of immigration to America. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2006-07020-003&site=ehost-live&scope=site"
"Attachment facilitates acculturative learning and adversity moderates: Validating the theory of epistemic trust in a natural experiment.","Venta, Amanda","Child Psychiatry and Human Development",="0009398X",,="20200601","51","3","471","7","2020-06326-001","10.1007/s10578-020-00958-x","Springer","Journal Article","Acculturation; Attachment Behavior; Epistemology; Trust (Social Behavior); Childhood Adversity; Immigration; Adolescence (13-17 yrs); Male; Female",,"Acculturation has consequences for immigrant health, and provides a natural experimental context in which to test Fonagy and Allison’s theory of epistemic trust. Their theory posits that secure attachment in the caregiver-youth dyad is a key mechanism for supporting, and exposure to childhood adversity and trauma is thought to block, the cultural learning process. The aim of this study was to validate the theory of epistemic trust by examining secure attachment as a predictor of acculturation across time and adverse childhood experiences as a moderator in 100 recently immigrated high school students followed for one year. Growth parameters were extracted and regressed on key study variables. Results indicated a significant main effect of maternal attachment on acculturation across time, as well an interaction in which the aforementioned link was blocked by adverse childhood experiences. In the context of acculturative learning, two tenets of the theory of epistemic trust were supported. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2020-06326-001&site=ehost-live&scope=site"
"Avatars in a virtual diaspora: Developing a theory of cultural ties and identity in second life.","Schackman, Daniel","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9781124689067",="20120101","72","8-A","2627","1","2012-99030-019",,"ProQuest Information & Learning","Dissertation","Artificial Intelligence; Culture (Anthropological); Ethnic Identity; Virtual Reality; Avatars; Theories; Cultural Identity",,"This research is a grounded theory study of the Indian Diaspora in the online, immersive, virtual world Second Life. Through field study and observation, participant observation, and interviews with Second Life residents – animated avatars designed and operated by people in real life – involved with Indian-themed places and groups, this research explored the following questions: To what extent does Indian culture in Second Life reflect Indian Diaspora culture in real life? To what extent do Indian avatars' experiences of settlement in Second Life resemble the acculturation process experienced by Indian immigrants to the United States? Central themes discovered in the study were the complex issues faced by avatars in balancing traditional and modern Indian values, and the expansion of the Indian Diaspora in this environment to include non-Indian avatars richly enmeshed in Indian cultural and social life in Second Life. Emerging from the results of this study are proposed key factors of virtual diasporas. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-99030-019&site=ehost-live&scope=site"
"Back to and beyond Berry's basics: The conceptualization, operationalization and classification of acculturation.","Ward, Colleen; Kus, Larissa","International Journal of Intercultural Relations",="01471767",,="20120701","36","4","472","14","2012-14917-001","10.1016/j.ijintrel.2012.02.002","Elsevier Science","Journal Article","Acculturation; Concept Formation; Racial and Ethnic Attitudes; Classification (Cognitive Process); Marginalization; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"Berry (1990) distinguished four acculturation attitudes (integration, assimilation, separation and marginalization) arising from two acculturation questions (concerning cultural maintenance and cultural contact). This research examines the distributions of acculturation attitudes based on his original cultural maintenance–cultural contact conceptualization and on a later cultural maintenance–cultural adoption model. In line with the Relative Extended Acculturation Model it also compares the outcomes of real (self-reported behavioral) and ideal (attitudinal) assessments of acculturation. Two hundred and eighty-nine first generation immigrants in New Zealand participated in the study. In line with the hypotheses, integration occurred more frequently when derived from cultural contact than from cultural adoption and when acculturation was framed in attitudinal, rather than behavioral, terms. The findings point to the necessity of clearly defining the dimensions of acculturation, ensuring they are appropriately operationalized, and differentiating attitudinal and self-reported behavioral measures. The consequences of the operationalization of acculturation for its relationship to adaptation are also reported and discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-14917-001&site=ehost-live&scope=site"
"Being and becoming: A grounded theory study of the racial and ethnic socialization processes of fifteen Haitian immigrants living in the United States.","Duchatelier-Jeudy, Lud Abigail","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9781339423494",="20160101","77","6-B(E)",,,"2016-42148-169",,"ProQuest Information & Learning","Dissertation","Health Care Services; Immigration; Socialization; Racial and Ethnic Differences; Adulthood (18 yrs & older); Female",,"This study examined and described the racial and ethnic socialization processes of 15 Haitian immigrant mothers, eight of whom were born and raised in Haiti and migrated to the United States after the age of 21 (Group A) and seven of whom were born and raised in the United States or born in Haiti and migrated on or before the age of the five and raised of the United States (Group B). The two groups of Haitian immigrant mothers were recruited from cities throughout the Northeast region of the United States. Using Harkness and Super's Developmental Niche as a theoretical guide, the researcher developed a qualitative interview protocol to assess the three components of this study's conceptualization of racial and ethnic socialization: (a) Haitian immigrant mothers' racial and ethnic messages and practices; (b) role the place in which the mothers were born and raised plays in their racial and ethnic socialization messages and practices; and (c) the factors that influence the mothers' racial and ethnic socialization messages and practices. Constructive grounded theory procedures were used to find themes and patterns of racial and ethnic socialization within the two groups of Haitian immigrant mothers and to identify similarities and differences among the two groups. The results from this study reveal that racial and ethnic socialization are processes of child development that are intricately related to the culture in which the family lives. Haitian immigrant mothers in Group A had similar racial socialization messages and practices to the Haitian immigrant mothers in Group B; however, the two groups differed greatly in their ethnic socialization messages and practices. Their messages and practices were influenced by the lessons they learned from their parents and the experiences that they had with race and ethnicity in Haiti and in the United States. In addition, being born and raised in Haiti and in the United States dictated the social contexts that Haitian immigrant mothers in Group A and Group B were exposed to, which shaped their understanding of and beliefs about race and ethnicity, their racial and ethnic identity, and the racial and ethnic identity they prescribed to their children. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2016-42148-169&site=ehost-live&scope=site"
"Bicultural development: A theoretical and empirical examination.","Padilla, Amado M.","Theoretical and conceptual issues in Hispanic mental health.",,="089464839X",="19940101",,,"20","32","1994-98623-002",,"Robert E Krieger Publishing Co","Chapter","Culture (Anthropological); Racial and Ethnic Groups; Socialization; Ethnic Identity; Immigration; Psychosocial Development; Childhood (birth-12 yrs); Adolescence (13-17 yrs)",,"examines the theoretical construct of biculturalism from a socialization perspective and focuses on children and adolescents who come from environments that foster dual culture socialization first discuss why growing up in 2 cultures is a timely and very necessary topic of discussion in understanding developmental processes / second, present an overview of the theoretical issues that surround bicultural socialization / finally, some empirical findings are presented that enable us to better understand the psychosocial issues involved in what transpires during bicultural socialization monoculturalism versus multiculturalism / identity formation / socialization to 2 cultures [immigrant children and adolescents, offspring of immigrants, later generation ethnics, mixed ethnic heritage children] (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1994-98623-002&site=ehost-live&scope=site"
"Bilingualism and educational expectations, college access and success of youth from immigrant families: A test of segmented assimilation theory.","Magarati, Ratna M.","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9781124490182",="20110101","72","4-A","1445","1","2011-99190-555",,"ProQuest Information & Learning","Dissertation","Academic Achievement; Bilingualism; Colleges; Expectations; Immigration; Family; High Schools; Language Proficiency; Adulthood (18 yrs & older)",,"Using the University of Washington Beyond High School survey data, I examine determinants of language proficiency and its consequences on a variety of social- psychological and socioeconomic adaptation outcomes. In particular, I explore whether fluent bilingualism—proficiency in both minority home language and English—provides an adaptation advantage to the children of the post-1960 immigrants in terms of educational aspirations, expectations, college enrollment and graduation, compared to their English- monolingual or limited-bilingual peers. The results indicate that high school seniors from homes in which a second language is spoken prefer English over the parental language and that a shift to the dominant use of English by the third generation appears to be occurring. However, a quarter of those seniors maintain some proficiency in the minority home language. Proficiency rates vary by minority language group, but one in four youths from dual-language homes is fluently bilingual. Length of residence in the United States, measured as generational status, largely determines proficiency in minority home language, English and fluent bilingualism. Family social background and family structure are only weakly associated with language proficiency. However, family social background is a strong predictor of educational aspirations and attainment. Korean- and Vietnamese-speaking seniors not only report higher educational ambitions but also enroll in and graduate from a four-year college at higher rates than Spanish, Khmer- and Russian- speaking seniors. Spanish speakers appear to the most disadvantaged in terms of graduating from college Fluently bilingual youths hold higher educational aspirations and expectations than their English monolingual peers when family social background, family structure and generational status are controlled and are also more likely to attend a four-year college. However, fluent bilingualism does not provide an advantage in graduating from a four-year college. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2011-99190-555&site=ehost-live&scope=site"
"Breaking the silence: Extending theory to address the underutilization of mental health services among Chinese immigrants in the United States.","Li, Jo-Yun Queenie","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9780438112438",="20180101","79","11-A(E)",,,"2018-40524-101",,"ProQuest Information & Learning","Dissertation","Health Care Utilization; Mental Health Services; Immigration",,"Mental health services underutilization has been a prevalent issue in Chinese immigrant community in the United States. Using a nation wide survey of 445 Chinese immigrants in November 2017, this study investigates the effects of cognitive barriers (i.e., acculturation levels) and affective obstacles (i.e., mental illness stigma) on Chinese immigrants' perceptual, attitudinal, and behavioral responses toward mental health services, by combing situational theory of problem solving and the theory of planned behavior. This study also examines the effects of mainstream and ethnic media use on acculturation and perceived stigma. Findings provide empirical support for the combined model, showing that all the cognitive and affective factors can predict Chinese immigrants' communicative action and behaviors regarding mental health services utilization. In addition, this study found that acculturation (cognitive barriers) is an effective predictor of individuals' ability to recognize the problem, connection to the problem, subjective norms regarding the problem, and their perceived behavioral control over the problem. On the other hand, mental illness stigma (affective barriers) can predict individuals' constraint recognition, attitudes, and perceived behavioral control over the issue. Practical implications are discussed for health public relations practitioners and communicators to better identify publics, propose strategic messages, and implement communication campaigns to improve Chinese immigrants' mental health services utilization rates. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2018-40524-101&site=ehost-live&scope=site"
"Bridging group divides: A theoretical overview of the 'what' and 'how' of gateway groups.","Love, Angelika; Levy, Aharon","Journal of Social Issues",="00224537",,="20190601","75","2","414","22","2019-26107-001","10.1111/josi.12327","Wiley-Blackwell Publishing Ltd.","Journal Article","Intergroup Dynamics; Social Groups; Social Integration; Social Networks; Social Categorization; Group Development",,"One of the most recent developments in the realm of intergroup relations is that of the gateway group notion. This conceptual framework addresses the potential of groups with multiple social backgrounds to play a role in the facilitation of positive intergroup relations between their distinct social counterparts (e.g., immigrants as a gateway between home and host countries). Given their shared identity with different social groups, people with multiple identities can potentially bridge the cleft between the two otherwise separate groups with which they are affiliated. In this article, we first provide a theoretical introduction to the gateway group notion and review preliminary experimental and social network‐based research on gateway groups' potential to improve intergroup relations. We then integrate this novel concept with the existing literature on intergroup contact and social categorization and discuss the potential social implications of gateway groups. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-26107-001&site=ehost-live&scope=site"
"Bringing together acculturation theory and intergroup contact theory: Predictors of Flemings’ expectations of Turks’ acculturation behavior.","Van Acker, Kaat; Vanbeselaere, Norbert","International Journal of Intercultural Relations",="01471767",,="20110501","35","3","334","12","2011-10325-006","10.1016/j.ijintrel.2010.06.004","Elsevier Science","Journal Article","Acculturation; Expectations; Intergroup Dynamics; Racial and Ethnic Groups; Social Perception; Emotions; Ingroup Outgroup; Minority Groups; Adolescence (13-17 yrs); Male; Female",,"The present paper explores Flemish majority members’ expectations concerning the acculturation of Turkish minorities. We studied two kinds of antecedents: majority members’ perceptions of Turkish minorities’ acculturation behavior and their experiences of intergroup contact. The possible mediating role of outgroup affect was also investigated. 247 Flemish high school students completed a survey. Data were analyzed using path analyses. Results show that positive contact experiences and perceiving that Turkish immigrants make efforts to engage in contact with the host group and/or to adopt the host culture are associated with less negative affective reactions towards Turkish migrants. Perceiving that Turkish immigrants maintain their heritage culture is associated with more negative affective reactions. Our results further revealed that increased negative affective reactions are associated with less support for culture maintenance and for contact with the host group but with a higher demand for host culture adoption. The present results also show that expectations of contact engagement and expectations of host culture adoption cannot be considered as equivalent. This implies that results from studies using Berry's conceptualization of acculturation expectations (Berry, 2001) and results from studies using Bourhis’ conceptualization of acculturation expectations (Bourhis, Moïse, Perreault, & Senécal, 1997) are not directly comparable. Our data also clearly disconfirm the orthogonal structure of the fourfold acculturation model for majority members’ acculturation expectations, suggesting that relying on the specific dimensions defining acculturation expectations may constitute a more valid approach to understand ongoing acculturation processes. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2011-10325-006&site=ehost-live&scope=site"
"Building a conceptual framework to culturally adapt health promotion and prevention programs at the deep structural level.","Wang-Schweig, Meme; Kviz, Frederick J.; Altfeld, Susan J.; Miller, Arlene M.; Miller, Brenda A.","Health Promotion Practice",="15248399",,="20140701","15","4","575","10","2014-42198-014","10.1177/1524839913518176","Sage Publications","Journal Article","Health Behavior; Health Promotion; Prevention; Program Development; Sociocultural Factors; Chinese Cultural Groups",,"The debate on the effectiveness and merit for the amount of time, effort, and resources to culturally adapt health promotion and prevention programs continues. This may be due, in large part, to the lack of theory in commonly used methods to match programmatic content and delivery to the culture of a population, particularly at the deep structural level. This paper asserts that prior to the cultural adaptation of prevention programs, it is necessary to first develop a conceptual framework. We propose a multiphase approach to address key challenges in the science of cultural adaptation by first identifying and exploring relevant cultural factors that may affect the targeted health-related behavior prior to proceeding through steps of a stage model. The first phase involves developing an underlying conceptual framework that integrates cultural factors to ground this process. The second phase employs the different steps of a stage model. For Phase I of our approach, we offer four key steps and use our research study as an example of how these steps were applied to build a framework for the cultural adaptation of a family-based intervention to prevent adolescent alcohol use, Guiding Good Choices (GGC), to Chinese American families. We then provide a summary of the preliminary evidence from a few key relationships that were tested among our sample with the greater purpose of discussing how these findings might be used to culturally adapt GGC. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2014-42198-014&site=ehost-live&scope=site"
"Combating discrimination at workplaces through mainstreaming ‘gender’ and ‘integration’ needs in legislation: Testing a new analytical framework in Germany and Sweden.","Tahir, Muhammad Wajid","Women's Studies International Forum",="02775395",,="20200701","81",,,,"2020-52503-001","10.1016/j.wsif.2020.102380","Elsevier Science","Journal Article","Human Migration; Laws; Mainstreaming; Social Integration; Discrimination Laws; Discrimination; Economics; Gender Identity; Legislative Processes; Sex Discrimination; Working Conditions; Adulthood (18 yrs & older)",,"This paper introduces a new gender-integration analysis framework to examine gender- and integration-responsiveness of relevant legislation in Germany and Sweden. The framework employs five analytical steps: 1) preparation of an ‘international legal frame’ to underline ‘gender’ and ‘integration’ needs at workplaces, 2) preparation of a ‘national legal frame’ to examine if existing legislation incorporates identified ‘gender’ and ‘integration’ needs, 3) compilation of subjective experiences of women migrants relating to discriminatory practices at workplaces, 4) interpretation of expert's perspectives towards missing legal clauses and existing barriers to implementation, and 5) classification of legislation with respect to their gender- as well as integration-responsiveness. The findings reveal that the prevailing legislation do incorporate ‘gender’ to some extent, but neglect ‘integration’ to a large extent and thus offer partial protection to women migrants against discriminatory practices at workplaces. The Swedish legislation appear more gender- as well as integration-sensitive on selected needs than that of Germany. The inferences underline a dire need to conduct proper ‘gender’ as well as ‘integration’ analysis of relevant legislation to ensure smooth economic integration of women migrants in both countries. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2020-52503-001&site=ehost-live&scope=site"
"Commentary on cultural diversity across the Pacific: The dominance of western theories, models, research and practice in psychology.","Stewart, Lisa","Journal of Pacific Rim Psychology",="18344909",,="20120601","6","1","27","5","2013-30371-003","10.1017/prp.2012.1","Cambridge University Press","Comment/Reply","Acculturation; Cross Cultural Differences; Social Capital; Cultural Diversity; Human Migration; Immigration",,"Comments on an articles by J. W. Berry (see record [rid]2013-30316-002[/rid]), A. Furnham (see record [rid]2013-30316-001[/rid]), and A. J. Marsella & A. M. Yamada (see record [rid]2013-30316-003[/rid]). The three featured articles in the December 2010 section on cultural diversity across the Pacific address important cultural issues in psychology. Berry (2010) applied these issues to intercultural relations and acculturation, Furnham (2010) to culture shock, and Marsella and Yamada (2010) to psychopathology. The common theme among these articles was the Western-centric dominance of psychology’s research, theories, models and practice, in part because of structural discrimination such as ethnocentric curricula, policies and teaching methods within academic institutions. In Aotearoa New Zealand, including mātauranga Māori (Māori knowledge) and kaupapa Māori (Māori philosophy) within curricula for clinical psychology has started to address that Western-centric dominance, but more importantly, resulted in more culturally safe and responsive psychological services being provided to Māori users of those services. The present commentary suggested that including and integrating more cross-cultural and indigenous knowledge into the tertiary curricula of applied psychology fields, such as clinical, industrial-organisational, and coaching psychology would be one way to counter the Western-centric dominance. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2013-30371-003&site=ehost-live&scope=site"
"Commentary on Furnham's culture shock, Berry's acculturation theory, and Marsella and Yamada's indigenous psychopathology: Being a call to action for Pacific Rim psychology.","Liu, James H.","Journal of Pacific Rim Psychology",="18344909",,="20111201","5","2","75","6","2013-30321-003","10.1017/S183449090000060X","Cambridge University Press","Comment/Reply","Attitudes; Culture Shock; Experimentation; Traveling; Human Migration; International Students; Pacific Islanders",,"Comments on the articles by A. Furnham (see record [rid]2013-30316-001[/rid]), J. Berry (see record [rid]2013-30316-002[/rid]) & A. J. Marsella & A.M. Yamada (see record [rid]2013-30316-003[/rid]). The three articles in this special edition of the Journal of Pacific Rim Psychology encompass a range of approaches within cross-cultural psychology. Adrian Furnham’s (2011) culture shock shows how academic psychology can be applied to, and helps to inform a popular concept. John Berry’s (2011) acculturation theory demonstrates how focused theory and empirical data can align with a national agenda. Anthony J. Marsella and Ann Marie Yamada’s (2011) socioconstructionist critique of mainstream clinical psychology and psychiatric practices illustrate how epistemology and indigenous psychology can challenge institutional practices. They are united in rejecting a culture-blind psychology of the mainstream. They differ by referencing largely separate but nonetheless complementary literatures on cultures of relevance to the Pacific Rim region. Taken together, these three articles combine meaningfully to illustrate how Pacific Rim psychology might benefit from having (1) a definition of itself with Hawaii and the Pacific Island Nations as the centre and hub for the broader Pacific Rim that includes East Asia and the Western American seaboard; (2) a focus on action, particularly action research and its cyclical communication process of planning, action, evaluation and feedback; and (3) an interdisciplinary orientation where interconnectedness with such institutions as mass media, government, and clinical and psychiatric practices, as well as within psychology itself, underpin and inform research practice and policy. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2013-30321-003&site=ehost-live&scope=site"
"Communication and cross-cultural adaptation: An integrative theory.","Kim, Young Yun",,,="090502883X; 0905028821",="19880101",,,,"223","1988-97819-000",,"Multilingual Matters",,"Acculturation; Communication; Refugees; Immigration",,"Cross-cultural adaptation of immigrants, refugees, and sojourners has been extensively investigated in the social sciences, but without an integrative theoretical foundation necessary for comprehensive understanding. This book attempts to meet this need by presenting an interdisciplinary, multidimensional theory, synthesizing the existing conceptualizations and empirical evidence in anthropology, communication, psychiatry, psychology, sociology, sociolinguistics, and related disciplines into a single theoretical scheme. The theory presented in this book is grounded in a systems perspective, based on which a set of assumptions, axioms, theorems, and a model are explicated. It emphasizes the stress-adapatation-growth dynamics of cross-cultural experiences, which bring about cultural strangers' gradual transformation toward increased functional fitness in the host milieu. Effective intrapersonal (cognitive, affective, and behavioural) and social (interpersonal and mass) communication activities are theorized as being at the heart of successful adaptation—along with individual background characteristics and host environmental conditions. The author concludes the book by outlining an integrative research design ideally suited for studying cross-cultural adaptation and by discussing practical implications of the theory for facilitating adaptation of cultural strangers and promoting integration of host societies. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1988-97819-000&site=ehost-live&scope=site"
"Comparaison de trois conceptualisations de l'intégration identitaire: Une étude auprés d'immigrants Québécois.","de la Sablonnière, Roxane; Debrosse, Régine; Benoit, Sophie","Cahiers Internationaux de Psychologie Sociale",="07770707",,="20101001","88","4","663","20","2011-02966-001",,"Editions de l'ULG","Journal Article","Concept Formation; Immigration; Social Identity; Multiculturalism; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Following immigration emerges a need for integrating multiple identities into the sell. However, researchers disagree as to which strategy favors well-being. A high well-being is associated to perceiving less conflict and distance between the two cultures according to the bicultural identity theory, and to high identification to both cultures according to the acculturation strategies theory. The cognitive-developmental model, elaborated recently, predicts that perceiving higher coherence between both cultures will be related to higher well-being. The predictive values of these theories have been assessed with bicultural individuals. Regressions and contrasts tests support more strongly the cognitive-developmental model. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2011-02966-001&site=ehost-live&scope=site"
