Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Immigrant Women's Experiences of Acculturative Stress: Ordinary Privileges, Overt Discrimination, and Psychological Well-Being.","Greenwood, Ronni Michelle; Adshead, Maura; Jay, Sarah","Psychology of Women Quarterly",="03616843",,="Dec2017","41","4","497","16","126726788","10.1177/0361684317719733","Sage Publications Inc.","Article","IRELAND; ACCULTURATION; ACTION research; CHI-squared test; EMIGRATION & immigration; FACTOR analysis; QUESTIONNAIRES; RELIABILITY (Personality trait); STATISTICAL sampling; SATISFACTION; SCALE analysis (Psychology); STATISTICS; PSYCHOLOGICAL stress; WOMEN; DATA analysis; WELL-being; DATA analysis software; DESCRIPTIVE statistics","discrimination; immigrants; intersectionality; privilege; psychiatric symptoms; satisfaction with life","We examined the relation of two acculturation stressors, exclusion from ordinary privileges and overt discrimination, to two indicators of psychological well-being (i.e., psychiatric symptoms and satisfaction with life) among a diverse sample of immigrant women living in Ireland (N = 174). We grouped our sample into ""visible"" immigrant women of color and ""nonvisible"" White immigrant women. As expected, visible immigrant women reported more experiences of overt discrimination and fewer experiences of ordinary privileges than did nonvisible immigrant women. The associations of belonging to a visible immigrant group with both psychiatric symptoms and satisfaction with life were each mediated through ordinary privileges and overt discrimination. The magnitude of the two indirect effects was equal for psychiatric symptoms, but for satisfaction with life, the indirect effect through ordinary privileges was stronger. After accounting for ordinary privileges and overt discrimination, the average score for satisfaction with life was higher for visible immigrant women than for nonvisible immigrant women. These findings suggest that visible immigrant women experience exclusion from ordinary privileges to a greater extent than nonvisible immigrant women and that this type of exclusion is at least as detrimental to psychological health as more overt forms of discrimination. Our findings demonstrate the importance of attending to discrimination of both visible and nonvisible immigrants and highlight the importance of ordinary privileges to immigrants' well-being in their countries of destination. We discuss implications for future research and social policy.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=126726788&site=ehost-live&scope=site"
"Immigrants' Health, Acculturation, and the Work–Retirement Continuum.","Zlotnick, Cheryl; Dryjanska, Laura","Health & Social Work",="03607283",,="Feb2020","45","1","13","10","141627913","10.1093/hsw/hlz039","Oxford University Press / USA","Article","ISRAEL; IMMIGRANTS -- Israel; ACCULTURATION; ATTITUDE (Psychology); CHI-squared test; COMMUNICATIVE competence; COMPARATIVE studies; CONFIDENCE intervals; CORRELATION (Statistics); EMPLOYMENT; GROUP identity; HEALTH promotion; HEALTH status indicators; INDUSTRIAL hygiene; JOB descriptions; LANGUAGE & languages; MOTIVATION (Psychology); MULTIVARIATE analysis; QUESTIONNAIRES; RETIREMENT; STATISTICAL sampling; SELF-evaluation; SELF-perception; SOCIAL workers; STATISTICS; WORK; LOGISTIC regression analysis; RESIDENTIAL patterns; CROSS-sectional method; DATA analysis software; DESCRIPTIVE statistics; ODDS ratio","acculturation; expectations; occupational health; retirement; self-reported health status","Although the link between immigrants' health status and employment is well established, there is little information on the combined impact of three components of acculturation (that is, dual self-identity, language proficiency, and realized expectations) on this link. Immigrants who came to Israel from English-speaking countries (N = 377) were categorized into three groups based on the work–retirement continuum (that is, working, same occupation; working, changed occupation; or retired). Using a cross-sectional design, this study examined whether the link between health and acculturation varied by immigrants' location on the work–retirement continuum. Bivariate analyses revealed group differences for two acculturation components, language proficiency (p <.0001) and dual self-identity (p <.05). Multivariable analyses indicated an interaction effect between the acculturation component of realized expectations and work–retirement continuum group status on health status. As a result, good health was related to higher levels of realized expectations for the retired group; related to lower levels of realized expectations for the ""working, changed occupations"" group; and unrelated to realized expectations for the ""working, same occupation"" group. The acculturation component of realized expectations varies depending on the immigrant's location on the work–retirement continuum. Health and social welfare professionals can promote health in working or retired immigrants by providing clear and realistic information to better align with immigrants' expectations.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=141627913&site=ehost-live&scope=site"
"Immigration and Mental Health: Mexican Americans in the United States.","Escobar, Javier I.; Nervi, Constanza Hoyos; Gara, Michael A.","Harvard Review of Psychiatry",="10673229",,="Jul2000","8","2","64","9","10909763","10.1080/hrp_8.2.64","Lippincott Williams & Wilkins","Article","UNITED States; MENTAL health services for Mexican Americans; IMMIGRANTS -- Medical care; EMIGRATION & immigration",,"The Hispanic population in the United States continues to expand rapidly due primarily to a large flow of immigrants from Mexico. Historical observations of disadvantage in the immigrant population, when compared to the native population, had helped to shape prevailing theories on immigration and mental health. However, data emerging from new research on Mexican Americans have come to challenge the old idea that immigrants are necessarily disadvantaged. The goal of this article is to review these new studies critically, to draw conclusions concerning the relationship between immigration and psychopathology, and to offer potential explanations for the major findings. We review five recent large-scale studies that examined the prevalence of mental disorders among Mexican-born immigrants and U.S.-born Mexican Americans in the United States. Results of these studies are inconsistent with traditional tenets on the relationship among immigration, acculturation, and psychopathology. They show that Mexico-born immigrants, despite significant socioeconomic disadvantages, have better mental health profiles than do U.S.-born Mexican Americans. Possible explanations for the better mental health profile of Mexican immigrants include research artifacts such as selection bias, a protective effect of traditional family networks, and a lower set of expectations about what constitutes ""success"" in America. The elevated rates of psychopathology in U.S.-born Mexican Americans may be related to easier access to abused substances and an elevated frequency of substance abuse among the U.S.-born.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=10909763&site=ehost-live&scope=site"
"Immigration and Sleep Problems in a Southern European Country: Do Immigrants Get the Best Sleep?","Villarroel, Nazmy; Artazcoz, Lucía","Behavioral Medicine",="08964289",,="2017","43","4","233","9","125462177","10.1080/08964289.2015.1122568","Taylor & Francis Ltd","Article","ARGENTINA; BOLIVIA; COLOMBIA; ECUADOR; MOROCCO; PERU; ROMANIA; SPAIN; ACCULTURATION; DISCRIMINATION; IMMIGRANTS -- Psychology; INSOMNIA; SEX distribution; SLEEP disorders; RESIDENTIAL patterns; LIFESTYLES; DISEASE prevalence","gender; immigrants; sleep disorders; socio-economic factors; Spain","This study analyzes the differences in the prevalence of insomnia symptoms and nonrestorative sleep (NRS) between people born in Spain and immigrants from 7 countries with most immigrants in Spain. Data come from the 2006 Spanish National Health Survey. The sample was composed of all individuals aged 16 to 64 years from Spain and the 7 countries with most immigrants in Spain (N = 22,224). In both sexes, people from Bolivia had a higher prevalence of insomnia symptoms and NRS. Conversely, people from Ecuador, Morocco, and Romania had less insomnia symptoms and NRS than Spanish-born participants. No differences were found between Spanish-born participants and Colombian, Peruvian, and Argentinian women. Poor living conditions in the country of origin and in the host country, discrimination, and culturally related lifestyles could be related to poorer sleep health among Bolivian men. Acculturation may explain the similar sleep health patterns noted between Spanish-born participants and long-term immigrants.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=125462177&site=ehost-live&scope=site"
"Immigration Transition and Depressive Symptoms: Four Major Ethnic Groups of Midlife Women in the United States.","Im, Eun-Ok; Chang, Sun Ju; Chee, Wonshik; Chee, Eunice; Mao, Jun James","Health Care for Women International",="07399332",,="Apr2015","36","4","439","18","101893094","10.1080/07399332.2014.924518","Taylor & Francis Ltd","Article","UNITED States; ACCULTURATION; ANALYSIS of variance; MENTAL depression; EMIGRATION & immigration; ETHNIC groups; QUESTIONNAIRES; SCALE analysis (Psychology); SELF-evaluation; STATISTICS; SURVEYS; T-test (Statistics); SAMPLE size (Statistics); DATA analysis; MULTIPLE regression analysis; SECONDARY analysis; EFFECT sizes (Statistics); RELATIVE medical risk; SEVERITY of illness index; DESCRIPTIVE statistics; INFERENTIAL statistics",,"The purpose of this study was to explore the relationships between immigration transition and depressive symptoms among 1,054 midlife women in the United States. This was a secondary analysis of the data from two national Internet survey studies. Questions on background characteristics and immigration transition and the Depression Index for Midlife Women were used to collect the data. The data were analyzed using inferential statistics including multiple regressions. Immigrants reported lower numbers of symptoms and less severe symptoms than nonimmigrants (p <.01). When controlling for background characteristics, self-reported racial/ethnic identity and immigration status were significant predictors of depressive symptoms (R2 =.01, p <.05).","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=101893094&site=ehost-live&scope=site"
"Importation, SES-selective acculturation, and the weaker SES-health gradients of Mexican immigrants in the United States","Riosmena, Fernando; Dennis, Jeff A.","Social Science Journal",="03623319",,="Sep2012","49","3","325","5","82198925","10.1016/j.soscij.2012.01.004","Taylor & Francis Ltd","Article","UNITED States; ACCULTURATION; IMMIGRANTS; HEALTH surveys; SOCIOECONOMIC factors; SOCIAL status; HEALTH status indicators; HYPOTHESIS",,"Abstract: Previous studies find U.S. immigrants have weaker socioeconomic gradients in health relative to non-Hispanic Whites and their U.S.-born co-ethnics. Several explanations have been advanced but few have been tested empirically. We use data from the Mexican Family Life Survey and the U.S. National Health Interview Survey, including longitudinal data in the former measuring socioeconomic status (SES) and health previous to emigration, to test if (1) immigrants “import” their gradients from the sending country, or if (2) they may be changing as a result of SES-graded acculturation among Mexican migrant men in two health indicators: obesity and current smoking. We find evidence consistent with the first hypothesis: the gradients of migrants measured prior to coming to the U.S. are not statistically different from those of nonmigrants, as the gradients of each are relatively weak. Although the gradients for obesity and smoking appear to weaken with time spent in the U.S., the differences are not significant, suggesting little support for the selective acculturation hypothesis.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=82198925&site=ehost-live&scope=site"
"Intimate Partner Violence among Latino Women: Rates and Cultural Correlates.","Sabina, Chiara; Cuevas, Carlos; Zadnik, Elizabeth","Journal of Family Violence",="08857482",,="Jan2015","30","1","35","13","100439512","10.1007/s10896-014-9652-z","Springer Nature","Article","ABUSED women; ACCULTURATION; CHI-squared test; CONFIDENCE intervals; CULTURE; HISPANIC Americans; IMMIGRANTS; INTERVIEWING; RESEARCH funding; SEX crimes; STALKING; SURVEYS; LOGISTIC regression analysis; SOCIOECONOMIC factors; EDUCATIONAL attainment; CROSS-sectional method; INTIMATE partner violence; DESCRIPTIVE statistics; ODDS ratio","Acculturation; Immigrants; Intimate partner violence; Latino women","While various forms of intimate partner violence (IPV) within the Latino community have been explored to some extent, the role of immigrant status and acculturation on IPV remains unclear. The current study investigated the lifetime rate of physical, sexual, stalking, and threat IPV, as well as the profile of abuse tactics used against victimized Latino women. Further, the influence of immigrant status, Anglo orientation, Latino orientation, and the interaction of immigrant status and acculturation variables on IPV were examined. Data came from the Sexual Assault Among Latinas (SALAS) study that gathered data from a national sample of Latino women ( N = 2,000) via telephone interviews. Results showed 15.6 % of Latino women experienced IPV in their lifetime and threat IPV was the most common form of IPV. Physical, sexual, stalking and threat IPV were all used as abusive tactics in various configurations. Logistic regression analyses showed immigrants were less likely than U.S. born Latino women to experience any IPV and physical IPV. Anglo orientation was associated with increased odds of any IPV and stalking IPV while Latino orientation was associated with decreased odds of all forms of IPV. Furthermore, the protective effect of Latino orientation for stalking IPV was pronounced among immigrants. Together the results show that 1 in 6 Latino women experience IPV and that sociocultural factors such as immigrant status and acculturation are important considerations for this group, underscoring the influence of migration and cultural adaptation to family functioning.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=100439512&site=ehost-live&scope=site"
"Israel 2000: immigration and gender differences in alcohol consumption.","Schiff, Miriam; Rahav, Giora; Teichman, Meir","American Journal on Addictions",="10550496",,="May/Jun2005","14","3","234","14","17485201","10.1080/10550490590949578","Wiley-Blackwell","journal article","ISRAEL; RUSSIA; ALCOHOLISM; ALCOHOL drinking; SUBSTANCE abuse; IMMIGRANTS; ACCULTURATION; COMPARATIVE studies; CULTURE; EMIGRATION & immigration; RESEARCH methodology; MEDICAL cooperation; RESEARCH; SEX distribution; SURVEYS; TIME; EVALUATION research",,"The present study addresses the association between immigration from the former Soviet Union (FSU) and gender and alcohol consumption among a representative sample of young adults in Israel 2000. Previous studies that were conducted on FSU immigrants to Israel indicate higher consumption than that of resident Israelis and immigrants of earlier periods. The current study aims to assess alcohol consumption among FSU and resident Israelis five years later to determine whether the discrepancy in alcohol consumption stays consistent or reduces. In addition, gender differences in alcohol consumption among the Israeli society were examined as well, as a special case of socio-culture differences. The data came from the 2000 national survey of drinking in Israel. Of 5,004 Jewish Israelis, 532 were immigrants from the FSU who arrived since 1989, and 4,472 were resident Israelis. The FSU group was compared with resident Israelis, and males were compared to females on several drinking variables. Logistic regression was the principal method of analysis. Demographics and cultural variables as main effects or in interaction with FSU and gender were controlled. The FSU group was significantly more likely to report drinking in the last twelve months plus drinking in the last thirty days than resident Israelis. Women's reported drinking in the last twelve months was one fourth of men's and during the past thirty days was one fifth of men's. Further investigation on the associations between the success of FSU acculturation in the Israeli society and drinking patterns as well as attitudes toward women and gender differences in alcohol consumption may provide explanations for gender and immigration gaps in alcohol consumption.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=17485201&site=ehost-live&scope=site"
"Knowledge and perceptions of dementia and Alzheimer's disease in four ethnic groups in Copenhagen, Denmark.","Nielsen, T. Rune; Waldemar, Gunhild","International Journal of Geriatric Psychiatry",="08856230",,="Mar2016","31","3","222","9","112966557","10.1002/gps.4314","Wiley-Blackwell","journal article","DENMARK; PAKISTAN; POLAND; TURKEY; ALZHEIMER'S disease; DEMENTIA -- Psychological aspects; ETHNIC groups; ACCULTURATION; EDUCATION; HEALTH; PSYCHOLOGY; PSYCHOLOGICAL aspects of aging; COMPARATIVE studies; DEMENTIA; HEALTH attitudes; HEALTH services accessibility; RESEARCH methodology; MEDICAL cooperation; QUESTIONNAIRES; RESEARCH; SOCIAL stigma; EVALUATION research","acculturation; Alzheimer's disease; dementia; education; ethnic minority; knowledge","<bold>Objective: </bold>Older people from ethnic minorities are underrepresented in dementia care. Some of the determinants of access to care are knowledge and perceptions of dementia, which may vary between ethnic groups in the population. The aims of this study were to compare knowledge and perceptions of dementia and Alzheimer's disease (AD) among four ethnic groups in Copenhagen, Denmark, and to assess the influence of education and acculturation.<bold>Methods: </bold>Quantitative survey data from 260 participants were analyzed: 100 native Danish, and 47 Polish, 51 Turkish, and 62 Pakistani immigrants. Knowledge and perceptions of dementia and AD were assessed with the Dementia Knowledge Questionnaire (DKQ) supplemented with two questions from the Alzheimer's Disease Awareness Test (ADAT). Knowledge and perceptions of dementia and AD in the four groups were compared, and the influence of education and acculturation was assessed.<bold>Results: </bold>Group differences were found on the DKQ total score as well as all sub-domains. Turkish and Pakistani people were most likely to hold normalizing and stigmatizing views of AD. Level of education and acculturation had limited influence on dementia knowledge, accounting for 22% of the variance at most and had only minor influence on perceptions of AD.<bold>Conclusions: </bold>Lacking knowledge and certain perceptions of dementia and AD may hamper access to services in some ethnic minority groups. Ongoing efforts to raise awareness that dementia and AD are not part of normal aging, particularly among Turkish and Pakistani communities, should be a high priority for educational outreach.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=112966557&site=ehost-live&scope=site"
"Language, Duration of United States Residency, and Leisure Time Physical Activity Among Women from the Third National Health and Nutrition Examination Survey (NHANES III).","Gaskins, Ronnesia B.; Baskin, Monica L.; Person, Sharina D.","Journal of Women's Health (15409996)",="15409996",,="Nov2012","21","11","1170","10","83230050","10.1089/jwh.2012.3477","Mary Ann Liebert, Inc.","Article","UNITED States; IMMIGRANTS -- United States; ACCULTURATION; CHI-squared test; COMMUNICATIVE competence; HEALTH promotion; HISPANIC Americans; LANGUAGE & languages; LEISURE; OBSTRUCTIVE lung diseases; MULTIVARIATE analysis; QUESTIONNAIRES; STATISTICS; TIME; COMORBIDITY; LOGISTIC regression analysis; DATA analysis; BODY mass index; HEALTH disparities; PHYSICAL activity; DATA analysis software",,"Background and Purpose: Physical inactivity is a leading public health concern, particularly among women and ethnic minority groups, where Latinas are among the largest and fastest growing U.S. populations. Acculturation, known to affect other health behaviors, may explain low physical activity (PA) among these underserved women. Research on the effects of acculturation on PA, however, is scarce or limited by methodology. The study purpose was to evaluate the association between acculturation (i.e., language, birth country, and duration of U.S. residency) and PA in a national sample of women within the framework of the socioecologic model of health promotion. Methods: A total of 5,861 women (86% white, mean age 37.2) were sampled from the Third National Health and Nutrition Examination Survey (NHANES III). Results: Hierarchical multivariable regression modeling results indicate significant associations among language, duration of U.S. residency, and age, after controlling for confounders (all p<0.05). Most women reported less than recommended PA. Conclusions: These findings indicate that age, duration of U.S. residency, and language are important to consider in combination when understanding women's PA, findings that have implications for future research, theory, and clinical practice (e.g., making available PA assessments in multiple languages additionally tailored on age and investigating sociopolitical factors unique to Latinas).","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=83230050&site=ehost-live&scope=site"
"Levels of Acculturation of Chinese Older Adults in the Greater Chicago Area - The Population Study of Chinese Elderly in Chicago.","Dong, XinQi; Bergren, Stephanie M.; Chang, E‐Shien","Journal of the American Geriatrics Society",="00028614",,="Sep2015","63","9","1931","7","109555486","10.1111/jgs.13604","Wiley-Blackwell","Article","UNITED States; ILLINOIS; IMMIGRANTS -- United States; ACCULTURATION; CHI-squared test; CHINESE; CORRELATION (Statistics); POPULATION research; RESEARCH funding; SCALE analysis (Psychology); CASE-control method; DATA analysis software; DESCRIPTIVE statistics","acculturation; Chinese; older adults; population study; United States","Acculturation is a difficult process for minority older adults for a variety of reasons, including access and exposure to mainstream culture, competing ethnic identities, and linguistic ability and preference. There is a paucity of research regarding overall level of acculturation for Chinese older adults in the United States. This study aimed to provide an overall estimate of level of acculturation of Chinese older adults in the United States and to examine correlations between sociodemographic characteristics, self-reported health measures, and level of acculturation. Data were collected through the Population Study of Chinese Elderly in Chicago ( PINE) study. This community-based participatory research study surveyed 3,159 Chinese older adults aged 60 and older. The PINE Study Acculturation Scale was used to assess level of acculturation in three dimensions: language preference, media use, and ethnic social relations. Mean acculturation level for all items was 15.3 ± 5.1, indicating low levels of acculturation. Older age, more offspring, lower income, fewer years living in the United States, lower overall health status, and lower quality of life were associated with lower levels of acculturation. Level of acculturation was low in Chinese older adults, and certain subsets of the population were more likely to have a lower level of acculturation. Future research should investigate causality and effects of level of acculturation.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=109555486&site=ehost-live&scope=site"
"Longitudinal effects of acculturation and enculturation on mental health: Does the measure of matter?","Causadias, José M.; Cicchetti, Dante; Meca, Alan; Schwartz, Seth J.; Martinez, Charles R.; McClure, Heather H.","Development & Psychopathology",="09545794",,="Dec2018","30","5","1849","18","133090178","10.1017/S0954579418001165","Cambridge University Press","Article","LONGITUDINAL method; ACCULTURATION; SOCIALIZATION; MENTAL health; BICULTURALISM",,"A great deal of research has focused on acculturation and enculturation, which represent the processes of adapting to a new culture. Despite this growing literature, results have produced inconsistent findings that may be attributable to differences in terms of the instruments used to assess acculturation and enculturation. Utilizing a 3-year longitudinal data set (with 1-year lags between assessments), the present study explored the psychometric properties of the Bicultural Involvement Questionnaire—Short Version (BIQ-S) and the Acculturation Rating Scale for Mexican Americans II (ARSMA-II) and examined the overlap between changes in these measures as they relate to internalizing and externalizing problem behavior. The present sample consisted of 216 immigrant Latino youth (43% boys; mean age 13.6 years at baseline; SD = 1.44 years, range 10 to 17). Exploratory structural equation modeling identified factor structures for the BIQ-S and ARSMA-II that diverged from their hypothesized structure. Growth curve models also indicate divergence between the BIQ-S and ARSMA-II in terms of change in acculturation and enculturation processes. Finally, the present findings emphasized that measures of acculturation and enculturation are not equivalent in terms of their effects on internalizing and externalizing problems.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=133090178&site=ehost-live&scope=site"
"Majority members' acculturation goals as predictors and effects of attitudes and behaviours towards migrants.","Geschke, Daniel; Mummendey, Amélie; Kessler, Thomas; Funke, Friedrich","British Journal of Social Psychology",="01446665",,="Sep2010","49","3","489","18","55328080","10.1348/014466609X470544","Wiley-Blackwell","Article","GERMANY; LEGAL status of refugees; REFUGEES -- Germany; ACCULTURATION; ADAPTABILITY (Psychology); DISCRIMINATION; GOAL (Psychology); IMMIGRANTS; LONGITUDINAL method; CULTURAL pluralism; PREJUDICES; QUESTIONNAIRES; REGRESSION analysis; SOCIAL change; STATISTICS; DATA analysis; PREDICTIVE validity; REPEATED measures design; CROSS-sectional method",,"Migration causes permanent processes of acculturation involving migrants but also members of mainstream society. A longitudinal field study with 70 German majority members investigated how their acculturation goals causally related to their attitudes and behaviours towards migrants. We distinguished acculturation goals concerning the migrants' culture(s) (what migrants should do) and acculturation goals concerning the usually neglected own changing mainstream culture. Both were conceived along the two dimensions of 'culture maintenance' and 'culture adoption'. Cross-sectionally we found many strong links between acculturation goals and attitudes and behaviours towards migrants, only some of which held longitudinally. As hypothesized there was no clear one-sided causal direction. As many causal links lead from acculturation goals to attitudes and behaviours, as in the opposite direction. Majority members' German culture acculturation goals proved especially valuable, because they determined attitudes and behaviour towards migrants most strongly.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=55328080&site=ehost-live&scope=site"
"'Meet Me Halfway' : Socio-cultural Adaptation and Perceived Contact Willingness of Host Nationals as Predictors of Immigrants' Threat Perceptions.","Mähönen, Tuuli Anna; Jasinskaja‐Lahti, Inga","Journal of Community & Applied Social Psychology",="10529284",,="Mar/Apr2016","26","2","125","11","113466326","10.1002/casp.2238","Wiley-Blackwell","Article","FINLAND; RUSSIA; ADAPTABILITY (Psychology); CHI-squared test; CONFIDENCE intervals; ETHNIC groups; IMMIGRANTS -- Psychology; LONGITUDINAL method; PATH analysis (Statistics); PERCEPTION; CULTURAL pluralism; RESEARCH funding; SOCIAL adjustment; STATISTICS; SURVEYS; MATHEMATICAL variables; DATA analysis; GROUP process; DATA analysis software; DESCRIPTIVE statistics","immigrant integration; intergroup threat; perceived willingness to engage in contact; socio‐cultural adaptation; socio-cultural adaptation","This three-wave study investigated the interplay between perceived socio-cultural adaptation and perceived willingness of the majority group to engage in contact, when predicting realistic and symbolic threats perceived by ethnic migrants from Russia to Finland. To sum up our key findings, the less immigrants perceived difficulties in socio-cultural adaptation soon after migration, the more positive were their later perceptions of the majority group members' contact willingness. Majority's perceived contact willingness was associated with lower levels of perceived realistic threats, and perceived contact willingness and perceived socio-cultural adaptation were both associated with lower levels of perceived symbolic threats. As regards practical implications of our findings for culturally diverse communities, equal efforts should be made to help newcomers' socio-cultural adaptation and to support their positive intergroup interactions with majority group members. That way, the beneficial impact of both of these factors on immigrant integration could be maximized. Copyright © 2015 John Wiley & Sons, Ltd.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=113466326&site=ehost-live&scope=site"
"Mental health among older refugees: the role of trauma, discrimination, and religiousness.","Mölsä, Mulki; Kuittinen, Saija; Tiilikainen, Marja; Honkasalo, Marja-Liisa; Punamäki, Raija-Leena","Aging & Mental Health",="13607863",,="Aug2017","21","8","829","9","123287991","10.1080/13607863.2016.1165183","Taylor & Francis Ltd","Article","SOMALIA; FINLAND; ACCULTURATION; DISCRIMINATION; ISLAM; MENTAL health; POST-traumatic stress disorder; QUESTIONNAIRES; PSYCHOLOGY of refugees; REGRESSION analysis; RELIGION; WAR","childhood adversity; Discrimination; mental health; religiousness; Somalis, older refugees; war trauma","Objectives:The aim of this study was to examine, first, how past traumatic stress and present acculturation indices, and discrimination are associated with mental health; and, second, whether religiousness can buffer the mental health from negative impacts of war trauma. Method:Participants were 128 older (50–80 years) Somali refugees living in Finland. They reported experiences of war trauma and childhood adversities, and filled-in questionnaires of perceived ethnic discrimination, religiousness (beliefs, attendance, and observance of Islamic faith), and symptoms of posttraumatic stress disorder (PTSD), depressive (BDI-21), psychological distress (GHQ-12), and somatization (SCL-90). Results:Symptom-specific regression models showed that newly arrived refugees with non-permanent legal status and severe exposures to war trauma, childhood adversity, and discrimination endorsed greater PTSD symptoms, while only war trauma and discrimination were associated with depressive symptoms. Results confirmed that high religiousness could play a buffering role among older Somalis, as exposure to severe war trauma was not associated with high levels of PTSD or somatization symptoms among highly religious refugees. Conclusion:Health care should consider both unique past and present vulnerabilities and resources when treating refugees, and everyday discrimination and racism should be regarded as health risks.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=123287991&site=ehost-live&scope=site"
"Migration processes and self-rated health among marriage migrants in South Korea.","Chang, Hsin-Chieh; Wallace, Steven P.","Ethnicity & Health",="13557858",,="Feb2016","21","1","20","19","110813337","10.1080/13557858.2014.992299","Taylor & Francis Ltd","Article","SOUTH Korea; ANALYSIS of variance; CHI-squared test; HEALTH attitudes; HEALTH services accessibility; HEALTH status indicators; IMMIGRANTS -- Psychology; MARRIAGE; PROBABILITY theory; RACE; RESEARCH funding; SELF-evaluation; SEX distribution; SOCIAL adjustment; SOCIAL participation; SURVEYS; LOGISTIC regression analysis; SOCIOECONOMIC factors; HEALTH & social status; DESCRIPTIVE statistics; ODDS ratio","marriage migrants; self-rated health; social integration; socioeconomic status; South Korea","Background. Research on migrant health mostly examines labor migrants, with some attention paid to the trauma faced by refugees. Marriage migrants represent an understudied vulnerable population in the migration and health literature. Objectives. Drawing on a Social Determinants of Health (SDH) approach, we use a large Korean national survey and stratified multivariate regressions to examine the link between migration processes and the self-rated health of Korea's three largest ethnic groups of marriage migrants: Korean-Chinese, Vietnamese, and Han Chinese. Results. We find that post-migration socioeconomic status and several social integration factors are associated with the health of marriage migrants of all three groups. Specifically, having more social relationships with Koreans is associated with good health among marriage migrants, while having more social relationships with co-ethnics is associated with worse health. Marriage migrants' perceived social status of their natal and marital families is a better predictor of their health than more objective measures such as their education attainment and that of their Korean husbands. The post-migration social gradients among all ethnic groups demonstrate a dose-response effect of marital family's social standing on marriage migrants' health, independent of their own education and the social standing of their natal families. Lastly, we find some ethnicity-specific predictors such as the association between higher educational level and worse health status among the Vietnamese. This variability by group suggests a more complex set of SDH occurred during the marriage migration processes than a basic SDH framework would predict. Conclusion. Using a new immigrant destination, South Korea, as an example, we conclude that migration and health policies that reduce ethnicity-specific barriers and offer integration programs in early post-migration stages may offer a pathway to good health among marriage migrants.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=110813337&site=ehost-live&scope=site"
"Migration, culture conflict and psychological well-being among Turkish-British married couples.","Baltas Z; Steptoe A","Ethnicity & Health",="13557858",,="May2000","5","2","173","8","105020306","10.1080/713667445","Taylor & Francis Ltd","Journal Article",,,"This study assessed culture conflict within marriage and the psychological well-being of Turkish men and women and their British partners. The hypothesis was tested that among migrants who are well established economically and socially within a new country, the perception of cultural conflict within marriage might override acculturation as a determinant of psychological well-being. Interviews were carried out with 33 relatively affluent Turkish men (n = 23) and women (n = 10) who had been born in Turkey and had been resident in the UK for an average of 12.2 plus or minus 6.2 years, and with their British partners. A marital cultural difficulties index was constructed from ratings of problems stemming from cultural differences in 22 aspects of daily living. Depression, assessed with the Beck Depression Inventory, was correlated with marital cultural difficulties in both Turkish and British respondents, independently of sex, age and duration of marriage. Depression scores were higher among respondents who reported greater cultural conflict. No associations of psychological well-being with acculturation (indexed by maintenance of traditional Turkish activities), age, years of marriage, or level of contact with Turkey were observed. The results highlight the implications of residual cultural conflict within mixed marriages for psychological well-being.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=105020306&site=ehost-live&scope=site"
